t,box_y,box_vy,p_body_y,p_grid_y,p_sum_y,KE_box,nodes_inside
0.450000,4.75612670e-01,-1.65090010e-01,-1.65090010e-01,0.00000000e+00,-1.65090010e-01,1.36273559e-02,16
0.454167,4.74924862e-01,-1.65074661e-01,-1.65074661e-01,0.00000000e+00,-1.65074661e-01,1.36248218e-02,16
0.458333,4.74237114e-01,-1.65059611e-01,-1.65059611e-01,0.00000000e+00,-1.65059611e-01,1.36223380e-02,16
0.462500,4.73549426e-01,-1.65044844e-01,-1.65044844e-01,0.00000000e+00,-1.65044844e-01,1.36199007e-02,16
0.466667,4.72861797e-01,-1.65030360e-01,-1.65030360e-01,0.00000000e+00,-1.65030360e-01,1.36175100e-02,16
0.470833,4.72174227e-01,-1.65016145e-01,-1.65016145e-01,0.00000000e+00,-1.65016145e-01,1.36151640e-02,16
0.475000,4.71486717e-01,-1.65002197e-01,-1.65002197e-01,0.00000000e+00,-1.65002197e-01,1.36128627e-02,16
0.479167,4.70799267e-01,-1.64988503e-01,-1.64988503e-01,0.00000000e+00,-1.64988503e-01,1.36106033e-02,16
0.483333,4.70111877e-01,-1.64975047e-01,-1.64975047e-01,0.00000000e+00,-1.64975047e-01,1.36083830e-02,16
0.487500,4.69424546e-01,-1.64961845e-01,-1.64961845e-01,0.00000000e+00,-1.64961845e-01,1.36062047e-02,16
0.491667,4.68737245e-01,-1.64948881e-01,-1.64948881e-01,0.00000000e+00,-1.64948881e-01,1.36040663e-02,16
0.495833,4.68050003e-01,-1.64936140e-01,-1.64936140e-01,0.00000000e+00,-1.64936140e-01,1.36019653e-02,16
0.500000,4.67362821e-01,-1.64923623e-01,-1.64923623e-01,0.00000000e+00,-1.64923623e-01,1.35999005e-02,16
0.504167,4.66675699e-01,-1.64911315e-01,-1.64911315e-01,0.00000000e+00,-1.64911315e-01,1.35978712e-02,16
0.508333,4.65988606e-01,-1.64899215e-01,-1.64899215e-01,0.00000000e+00,-1.64899215e-01,1.35958754e-02,16
0.512500,4.65301573e-01,-1.64887324e-01,-1.64887324e-01,0.00000000e+00,-1.64887324e-01,1.35939149e-02,16
0.516667,4.64614600e-01,-1.64875641e-01,-1.64875641e-01,0.00000000e+00,-1.64875641e-01,1.35919889e-02,16
0.520833,4.63927656e-01,-1.64864153e-01,-1.64864153e-01,0.00000000e+00,-1.64864153e-01,1.35900946e-02,16
0.525000,4.63240772e-01,-1.64852843e-01,-1.64852843e-01,0.00000000e+00,-1.64852843e-01,1.35882301e-02,16
0.529167,4.62553918e-01,-1.64841726e-01,-1.64841726e-01,0.00000000e+00,-1.64841726e-01,1.35863973e-02,16
0.533333,4.61867124e-01,-1.64830789e-01,-1.64830789e-01,0.00000000e+00,-1.64830789e-01,1.35845942e-02,16
0.537500,4.61180359e-01,-1.64820030e-01,-1.64820030e-01,0.00000000e+00,-1.64820030e-01,1.35828210e-02,16
0.541667,4.60493654e-01,-1.64809451e-01,-1.64809451e-01,0.00000000e+00,-1.64809451e-01,1.35810776e-02,16
0.545833,4.59806979e-01,-1.64799035e-01,-1.64799035e-01,0.00000000e+00,-1.64799035e-01,1.35793611e-02,16
0.550000,4.59120363e-01,-1.64788783e-01,-1.64788783e-01,0.00000000e+00,-1.64788783e-01,1.35776717e-02,16
0.554167,4.58433777e-01,-1.64778695e-01,-1.64778695e-01,0.00000000e+00,-1.64778695e-01,1.35760093e-02,16
0.558333,4.57747251e-01,-1.64768770e-01,-1.64768770e-01,0.00000000e+00,-1.64768770e-01,1.35743739e-02,16
0.562500,4.57060754e-01,-1.64758980e-01,-1.64758980e-01,0.00000000e+00,-1.64758980e-01,1.35727609e-02,16
0.566667,4.56374288e-01,-1.64749354e-01,-1.64749354e-01,0.00000000e+00,-1.64749354e-01,1.35711748e-02,16
0.570833,4.55687881e-01,-1.64739862e-01,-1.64739862e-01,0.00000000e+00,-1.64739862e-01,1.35696111e-02,16
0.575000,4.55001503e-01,-1.64730519e-01,-1.64730519e-01,0.00000000e+00,-1.64730519e-01,1.35680716e-02,16
