t,KE,vx
0.804167,2.23540382e+01,6.68640995e+00
0.808333,2.22609921e+01,6.67247963e+00
0.812500,2.21683331e+01,6.65857840e+00
0.816667,2.20760612e+01,6.64470625e+00
0.820833,2.19841709e+01,6.63086271e+00
0.825000,2.18926640e+01,6.61704826e+00
0.829167,2.18015366e+01,6.60326242e+00
0.833333,2.17107925e+01,6.58950567e+00
0.837500,2.16204243e+01,6.57577753e+00
0.841667,2.15304337e+01,6.56207800e+00
0.845833,2.14408150e+01,6.54840660e+00
0.850000,2.13515682e+01,6.53476381e+00
0.854167,2.12626972e+01,6.52114964e+00
0.858333,2.11741924e+01,6.50756359e+00
0.862500,2.10860577e+01,6.49400616e+00
0.866667,2.09982910e+01,6.48047686e+00
0.870833,2.09108868e+01,6.46697569e+00
0.875000,2.08238487e+01,6.45350266e+00
0.879167,2.07371712e+01,6.44005775e+00
0.883333,2.06508579e+01,6.42664099e+00
0.887500,2.05648994e+01,6.41325188e+00
0.891667,2.04793015e+01,6.39989090e+00
0.895833,2.03940582e+01,6.38655758e+00
0.900000,2.03091698e+01,6.37325191e+00
0.904167,2.02246342e+01,6.35997391e+00
0.908333,2.01404495e+01,6.34672356e+00
0.912500,2.00566158e+01,6.33350086e+00
0.916667,1.99731331e+01,6.32030582e+00
0.920833,1.98899975e+01,6.30713844e+00
0.925000,1.98072071e+01,6.29399824e+00
0.929167,1.97247620e+01,6.28088570e+00
0.933333,1.96426601e+01,6.26780033e+00
0.937500,1.95608997e+01,6.25474215e+00
0.941667,1.94794788e+01,6.24171114e+00
0.945833,1.93983974e+01,6.22870731e+00
0.950000,1.93176537e+01,6.21573067e+00
0.954167,1.92372475e+01,6.20278120e+00
0.958333,1.91571732e+01,6.18985844e+00
0.962500,1.90774345e+01,6.17696285e+00
0.966667,1.89980278e+01,6.16409397e+00
0.970833,1.89189491e+01,6.15125179e+00
0.975000,1.88402004e+01,6.13843632e+00
0.979167,1.87617798e+01,6.12564754e+00
0.983333,1.86836853e+01,6.11288548e+00
0.987500,1.86059151e+01,6.10015011e+00
0.991667,1.85284710e+01,6.08744144e+00
0.995833,1.84513493e+01,6.07475901e+00
1.000000,1.83745480e+01,6.06210327e+00
1.004167,1.82980671e+01,6.04947376e+00
1.008333,1.82219028e+01,6.03687048e+00
1.012500,1.81460552e+01,6.02429342e+00
1.016667,1.80705242e+01,6.01174259e+00
1.020833,1.79953079e+01,5.99921799e+00
1.025000,1.79204063e+01,5.98671961e+00
1.029167,1.78458138e+01,5.97424698e+00
1.033333,1.77715340e+01,5.96180058e+00
1.037500,1.76975613e+01,5.94937992e+00
1.041667,1.76238956e+01,5.93698502e+00
1.045833,1.75505390e+01,5.92461634e+00
1.050000,1.74774876e+01,5.91227341e+00
1.054167,1.74047413e+01,5.89995623e+00
1.058333,1.73322964e+01,5.88766432e+00
1.062500,1.72601509e+01,5.87539816e+00
1.066667,1.71883087e+01,5.86315775e+00
1.070833,1.71167641e+01,5.85094261e+00
1.075000,1.70455189e+01,5.83875322e+00
1.079167,1.69745712e+01,5.82658911e+00
1.083333,1.69039154e+01,5.81445026e+00
1.087500,1.68335552e+01,5.80233669e+00
1.091667,1.67634888e+01,5.79024839e+00
1.095833,1.66937122e+01,5.77818537e+00
1.100000,1.66242256e+01,5.76614714e+00
1.104167,1.65550308e+01,5.75413418e+00
1.108333,1.64861202e+01,5.74214602e+00
1.112500,1.64174995e+01,5.73018312e+00
1.116667,1.63491631e+01,5.71824503e+00
1.120833,1.62811108e+01,5.70633173e+00
1.125000,1.62133427e+01,5.69444323e+00
1.129167,1.61458549e+01,5.68257952e+00
1.133333,1.60786495e+01,5.67074060e+00
1.137500,1.60117245e+01,5.65892649e+00
