t,box_y,box_vy,p_body_y,p_grid_y,p_sum_y,KE_box,nodes_inside
0.487500,3.27819228e-01,-1.57284454e-01,-1.57284454e-01,0.00000000e+00,-1.57284454e-01,1.23691997e-02,32
0.491667,3.27163965e-01,-1.57265499e-01,-1.57265499e-01,0.00000000e+00,-1.57265499e-01,1.23662185e-02,32
0.495833,3.26508760e-01,-1.57251462e-01,-1.57251462e-01,0.00000000e+00,-1.57251462e-01,1.23640113e-02,32
0.500000,3.25853586e-01,-1.57241106e-01,-1.57241106e-01,0.00000000e+00,-1.57241106e-01,1.23623824e-02,32
0.504167,3.25198442e-01,-1.57233432e-01,-1.57233432e-01,0.00000000e+00,-1.57233432e-01,1.23611763e-02,32
0.508333,3.24543327e-01,-1.57227740e-01,-1.57227740e-01,0.00000000e+00,-1.57227740e-01,1.23602813e-02,32
0.512500,3.23888242e-01,-1.57223523e-01,-1.57223523e-01,0.00000000e+00,-1.57223523e-01,1.23596182e-02,32
0.516667,3.23233157e-01,-1.57220408e-01,-1.57220408e-01,0.00000000e+00,-1.57220408e-01,1.23591283e-02,32
0.520833,3.22578073e-01,-1.57218114e-01,-1.57218114e-01,0.00000000e+00,-1.57218114e-01,1.23587679e-02,32
0.525000,3.21923018e-01,-1.57216415e-01,-1.57216415e-01,0.00000000e+00,-1.57216415e-01,1.23585006e-02,32
0.529167,3.21267962e-01,-1.57215148e-01,-1.57215148e-01,0.00000000e+00,-1.57215148e-01,1.23583013e-02,32
0.533333,3.20612907e-01,-1.57214209e-01,-1.57214209e-01,0.00000000e+00,-1.57214209e-01,1.23581542e-02,32
0.537500,3.19957852e-01,-1.57213539e-01,-1.57213539e-01,0.00000000e+00,-1.57213539e-01,1.23580480e-02,32
0.541667,3.19302797e-01,-1.57213017e-01,-1.57213017e-01,0.00000000e+00,-1.57213017e-01,1.23579660e-02,32
0.545833,3.18647742e-01,-1.57212645e-01,-1.57212645e-01,0.00000000e+00,-1.57212645e-01,1.23579083e-02,32
0.550000,3.17992687e-01,-1.57212362e-01,-1.57212362e-01,0.00000000e+00,-1.57212362e-01,1.23578636e-02,32
0.554167,3.17337632e-01,-1.57212138e-01,-1.57212138e-01,0.00000000e+00,-1.57212138e-01,1.23578282e-02,32
0.558333,3.16682577e-01,-1.57211974e-01,-1.57211974e-01,0.00000000e+00,-1.57211974e-01,1.23578021e-02,32
0.562500,3.16027522e-01,-1.57211870e-01,-1.57211870e-01,0.00000000e+00,-1.57211870e-01,1.23577863e-02,32
0.566667,3.15372467e-01,-1.57211781e-01,-1.57211781e-01,0.00000000e+00,-1.57211781e-01,1.23577723e-02,32
0.570833,3.14717412e-01,-1.57211721e-01,-1.57211721e-01,0.00000000e+00,-1.57211721e-01,1.23577630e-02,32
0.575000,3.14062357e-01,-1.57211691e-01,-1.57211691e-01,0.00000000e+00,-1.57211691e-01,1.23577584e-02,32
0.579167,3.13407302e-01,-1.57211661e-01,-1.57211661e-01,0.00000000e+00,-1.57211661e-01,1.23577528e-02,32
0.583333,3.12752247e-01,-1.57211632e-01,-1.57211632e-01,0.00000000e+00,-1.57211632e-01,1.23577481e-02,32
0.587500,3.12097192e-01,-1.57211617e-01,-1.57211617e-01,0.00000000e+00,-1.57211617e-01,1.23577463e-02,32
0.591667,3.11442137e-01,-1.57211602e-01,-1.57211602e-01,0.00000000e+00,-1.57211602e-01,1.23577435e-02,32
0.595833,3.10787082e-01,-1.57211587e-01,-1.57211587e-01,0.00000000e+00,-1.57211587e-01,1.23577416e-02,32
0.600000,3.10132027e-01,-1.57211572e-01,-1.57211572e-01,0.00000000e+00,-1.57211572e-01,1.23577388e-02,32
0.604167,3.09476972e-01,-1.57211557e-01,-1.57211557e-01,0.00000000e+00,-1.57211557e-01,1.23577369e-02,32
0.608333,3.08821917e-01,-1.57211542e-01,-1.57211542e-01,0.00000000e+00,-1.57211542e-01,1.23577341e-02,32
