t,px,py,pz,Lx,Ly,Lz,KE_sys
0.395833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.400000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.404167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.408333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
0.412500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001755e+00,0.00000000e+00,1.21450005e+01
0.416667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.420833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.425000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.429167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.433333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.437500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.441667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.445833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.450000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.454167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.458333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.462500,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.466667,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.470833,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.475000,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001707e+00,0.00000000e+00,1.21450005e+01
0.479167,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
0.483333,4.00000000e+00,0.00000000e+00,6.99999988e-01,0.00000000e+00,6.10001659e+00,0.00000000e+00,1.21450005e+01
