t,y1,y2,y3,y1_drift,y2_drift,y3_drift
0.270833,4.94148731e-01,1.49414766e+00,2.49398112e+00,-5.85126877e-03,-5.85234165e-03,-6.01887703e-03
0.275000,4.94148672e-01,1.49414766e+00,2.49398112e+00,-5.85132837e-03,-5.85234165e-03,-6.01887703e-03
0.279167,4.94148612e-01,1.49414766e+00,2.49398112e+00,-5.85138798e-03,-5.85234165e-03,-6.01887703e-03
0.283333,4.94148582e-01,1.49414766e+00,2.49398112e+00,-5.85141778e-03,-5.85234165e-03,-6.01887703e-03
0.287500,4.94148552e-01,1.49414766e+00,2.49398112e+00,-5.85144758e-03,-5.85234165e-03,-6.01887703e-03
0.291667,4.94148523e-01,1.49414766e+00,2.49398112e+00,-5.85147738e-03,-5.85234165e-03,-6.01887703e-03
0.295833,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.300000,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.304167,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.308333,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.312500,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.316667,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.320833,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.325000,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.329167,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.333333,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.337500,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.341667,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.345833,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.350000,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.354167,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.358333,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.362500,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.366667,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.370833,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.375000,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.379167,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.383333,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.387500,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.391667,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.395833,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.400000,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.404167,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.408333,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.412500,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.416667,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.420833,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.425000,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.429167,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.433333,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.437500,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.441667,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.445833,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.450000,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.454167,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.458333,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.462500,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.466667,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.470833,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.475000,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.479167,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.483333,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.487500,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.491667,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.495833,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.500000,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.504167,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.508333,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.512500,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.516667,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.520833,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.525000,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.529167,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.533333,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.537500,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.541667,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.545833,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.550000,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
0.554167,4.94148493e-01,1.49414766e+00,2.49398112e+00,-5.85150719e-03,-5.85234165e-03,-6.01887703e-03
